user_id,course_id,rating,enrollment_status,completion_status,timestamp
3546,341952,1,Yes,Not Started,2024-05-09
2303,670376,3,No,In Progress,2024-03-09
1892,995384,1,Yes,Not Started,2024-10-02
911,967486,4,Yes,Not Started,2024-04-25
2471,477702,2,No,Not Started,2024-08-31
4253,1193886,5,Yes,Completed,2024-11-14
733,355374,5,No,Not Started,2024-05-25
2341,913768,2,No,Not Started,2024-11-02
2989,593544,5,Yes,Not Started,2024-02-19
397,566910,5,Yes,Not Started,2024-11-10
4341,1103590,5,No,Not Started,2024-07-14
4562,654038,2,No,In Progress,2024-05-04
3214,464002,2,No,Completed,2025-02-04
119,892898,2,No,Not Started,2024-06-17
3462,731150,4,Yes,Completed,2024-12-15
3740,514844,1,No,In Progress,2024-06-14
620,1111844,3,Yes,Not Started,2024-05-10
1062,969348,5,Yes,Completed,2024-10-04
3084,586490,4,Yes,In Progress,2024-10-26
2929,494510,5,Yes,Not Started,2024-11-12
2979,821526,4,No,Completed,2024-03-29
2455,1104496,1,Yes,In Progress,2024-09-06
2879,742142,2,Yes,In Progress,2024-05-31
4701,602450,3,No,Not Started,2024-11-27
3252,214218,5,Yes,Completed,2024-11-11
4158,442114,2,No,Completed,2024-06-25
4855,174790,4,No,Completed,2024-09-22
3297,1114722,2,Yes,In Progress,2024-04-27
1559,421054,1,Yes,Completed,2024-02-14
4151,1105344,1,Yes,In Progress,2025-01-08
2914,632368,1,No,Completed,2024-04-10
2970,663696,4,No,Completed,2024-06-25
545,1082996,4,Yes,In Progress,2024-09-12
499,840300,3,Yes,In Progress,2024-12-04
3720,1241518,2,Yes,In Progress,2024-11-04
326,1149202,5,No,Completed,2024-07-22
1509,517866,5,Yes,Not Started,2024-06-17
3569,1058530,2,No,In Progress,2024-09-14
4623,1211366,4,No,Not Started,2024-04-28
2699,173776,2,Yes,Not Started,2024-05-08
679,911318,4,Yes,Completed,2024-05-15
4698,1104492,1,No,In Progress,2024-12-22
1938,1189288,3,No,Not Started,2024-06-21
1702,1032234,2,Yes,Not Started,2024-07-03
1961,1170626,2,Yes,Completed,2024-08-25
3238,294914,2,Yes,Not Started,2024-09-27
2948,931626,1,No,Not Started,2024-08-31
2001,998706,2,No,In Progress,2024-06-20
4809,328960,4,No,Completed,2024-03-30
983,332252,2,Yes,In Progress,2024-05-21
557,1227792,4,No,In Progress,2024-03-11
3701,990532,3,Yes,In Progress,2024-03-30
555,782458,3,No,Completed,2024-11-22
1955,731150,3,Yes,In Progress,2024-05-22
1267,749616,2,Yes,In Progress,2024-03-20
2869,812610,2,No,In Progress,2024-09-01
1345,256094,5,Yes,Not Started,2024-09-11
2420,440006,5,No,Completed,2024-08-20
2161,552058,5,Yes,In Progress,2024-08-11
3574,618396,1,No,In Progress,2024-09-22
3806,551072,2,Yes,Completed,2024-04-28
4162,665042,1,No,In Progress,2024-07-21
3767,846412,5,No,Completed,2024-04-10
3872,812798,1,Yes,In Progress,2024-08-18
58,616818,1,Yes,In Progress,2024-10-18
2799,112314,2,No,Not Started,2024-04-14
645,1201912,1,Yes,In Progress,2024-11-26
420,256094,3,Yes,In Progress,2025-01-30
4716,18448,4,Yes,Completed,2024-12-10
1674,761768,2,No,Completed,2024-09-09
2554,1149202,1,No,Not Started,2024-08-22
4636,519442,4,No,In Progress,2024-09-04
610,959586,3,Yes,In Progress,2025-01-21
80,114518,1,No,In Progress,2024-09-04
4605,584758,2,Yes,In Progress,2024-05-25
967,842728,4,No,Completed,2024-07-09
1986,385462,3,Yes,Completed,2024-03-30
3861,68876,1,Yes,In Progress,2024-04-15
4551,358062,2,No,Completed,2024-02-17
774,911712,3,No,Not Started,2025-02-11
796,680044,3,No,In Progress,2024-06-27
3734,739390,4,Yes,Completed,2024-05-04
1288,1107986,1,Yes,Not Started,2024-10-24
3594,959144,1,Yes,Completed,2024-04-01
73,248338,5,No,Completed,2024-12-02
2594,739972,5,No,Completed,2024-07-06
4576,375594,1,Yes,Not Started,2024-04-19
4973,738360,4,No,Completed,2024-06-23
2569,1188742,4,No,Not Started,2024-05-30
3952,74016,4,No,Not Started,2025-01-31
4563,385684,4,No,Not Started,2024-06-01
3145,849632,3,Yes,Not Started,2024-04-19
2096,994362,5,No,Completed,2024-09-29
3754,608436,4,No,In Progress,2024-12-02
1778,1206414,3,Yes,In Progress,2025-01-02
1344,532572,1,Yes,In Progress,2024-06-21
1444,895394,1,Yes,Completed,2024-09-04
4817,886300,1,Yes,Not Started,2025-02-03
892,551702,4,Yes,In Progress,2024-11-17
2280,1153326,3,Yes,Not Started,2024-02-28
4275,297044,4,Yes,In Progress,2024-10-23
1169,648826,5,No,Not Started,2024-06-30
1462,665686,5,No,Not Started,2024-06-21
614,1182108,4,No,Not Started,2024-11-23
368,598266,1,No,In Progress,2024-03-27
4138,368786,1,No,Not Started,2024-09-19
3286,1089062,5,Yes,Completed,2024-07-29
2193,406922,2,No,Not Started,2024-03-02
4361,303042,4,Yes,Completed,2024-10-03
2268,606756,1,No,Completed,2024-05-07
1654,1210062,5,No,Completed,2024-05-05
849,303042,3,No,Completed,2024-03-06
3932,281844,4,No,Not Started,2024-03-31
1573,73046,5,Yes,In Progress,2024-04-10
10,80844,5,No,Completed,2024-09-19
2223,998580,5,Yes,In Progress,2024-10-17
1371,995562,4,No,In Progress,2024-11-26
34,1106490,2,No,In Progress,2024-11-22
2309,1065198,1,No,In Progress,2024-11-03
4508,356060,2,No,Completed,2024-07-27
1092,72262,5,No,Not Started,2024-05-23
4321,846962,4,No,In Progress,2024-04-12
4899,469678,2,Yes,In Progress,2024-12-25
2141,606494,5,Yes,Not Started,2024-11-24
2157,718426,3,No,Not Started,2024-06-02
3568,441106,5,No,In Progress,2024-04-21
1860,613422,2,Yes,Not Started,2024-05-14
2305,459888,2,No,Completed,2024-12-13
3752,789670,3,Yes,Completed,2024-09-06
827,1013314,1,No,Completed,2024-07-23
3109,463354,1,Yes,Completed,2024-10-05
2373,926206,4,No,In Progress,2024-07-24
857,1150468,1,No,Not Started,2024-03-20
2129,950894,4,Yes,Completed,2024-04-05
1494,826366,1,No,In Progress,2024-03-06
30,669346,2,Yes,Not Started,2024-05-07
1330,1084894,2,No,Completed,2024-08-04
2387,1250742,3,Yes,Not Started,2025-01-12
1450,947204,3,Yes,Completed,2024-07-19
3242,822926,4,Yes,In Progress,2025-02-10
29,328842,3,Yes,In Progress,2024-06-21
222,261148,5,No,In Progress,2024-11-08
3962,19603,2,No,Not Started,2025-01-04
3089,1270392,5,No,Not Started,2025-01-15
